Date,Open,High,Low,Close,Adj Close,Volume
22-09-2021,45.82,45.82,45.82,45.82,44.980221,0
23-09-2021,46.490002,46.490002,46.490002,46.490002,45.637943,0
24-09-2021,46.560001,46.560001,46.560001,46.560001,45.706661,0
27-09-2021,46.689999,46.689999,46.689999,46.689999,45.834274,0
28-09-2021,46,46,46,46,45.156921,0
29-09-2021,46.080002,46.080002,46.080002,46.080002,45.235458,0
30-09-2021,45.34,45.34,45.34,45.34,44.509018,0
01-10-2021,45.939999,45.939999,45.939999,45.939999,45.098022,0
04-10-2021,45.639999,45.639999,45.639999,45.639999,44.80352,0
05-10-2021,46,46,46,46,45.156921,0
06-10-2021,46.040001,46.040001,46.040001,46.040001,45.19619,0
07-10-2021,46.43,46.43,46.43,46.43,45.579041,0
08-10-2021,46.34,46.34,46.34,46.34,45.490692,0
11-10-2021,46.080002,46.080002,46.080002,46.080002,45.235458,0
12-10-2021,46.099998,46.099998,46.099998,46.099998,45.255089,0
13-10-2021,46.16,46.16,46.16,46.16,45.313992,0
14-10-2021,46.950001,46.950001,46.950001,46.950001,46.089512,0
15-10-2021,47.119999,47.119999,47.119999,47.119999,46.256393,0
18-10-2021,47.150002,47.150002,47.150002,47.150002,46.285847,0
19-10-2021,47.419998,47.419998,47.419998,47.419998,46.550896,0
20-10-2021,47.790001,47.790001,47.790001,47.790001,46.914116,0
21-10-2021,47.84,47.84,47.84,47.84,46.9632,0
22-10-2021,47.990002,47.990002,47.990002,47.990002,47.110451,0
25-10-2021,48.09,48.09,48.09,48.09,47.208618,0
26-10-2021,48,48,48,48,47.120266,0
27-10-2021,47.360001,47.360001,47.360001,47.360001,46.491997,0
28-10-2021,47.860001,47.860001,47.860001,47.860001,46.982834,0
29-10-2021,47.759998,47.759998,47.759998,47.759998,46.884663,0
01-11-2021,48.150002,48.150002,48.150002,48.150002,47.267521,0
02-11-2021,48.279999,48.279999,48.279999,48.279999,47.395134,0
03-11-2021,48.57,48.57,48.57,48.57,47.679821,0
04-11-2021,48.470001,48.470001,48.470001,48.470001,47.581654,0
05-11-2021,48.84,48.84,48.84,48.84,47.94487,0
08-11-2021,48.919998,48.919998,48.919998,48.919998,48.023403,0
09-11-2021,48.91,48.91,48.91,48.91,48.013588,0
10-11-2021,48.57,48.57,48.57,48.57,47.679821,0
11-11-2021,48.700001,48.700001,48.700001,48.700001,47.807438,0
12-11-2021,48.93,48.93,48.93,48.93,48.033222,0
15-11-2021,49.02,49.02,49.02,49.02,48.121574,0
16-11-2021,49.09,49.09,49.09,49.09,48.190289,0
17-11-2021,48.82,48.82,48.82,48.82,47.92524,0
18-11-2021,48.639999,48.639999,48.639999,48.639999,47.748535,0
19-11-2021,48.330002,48.330002,48.330002,48.330002,47.444221,0
22-11-2021,48.41,48.41,48.41,48.41,47.522751,0
23-11-2021,48.610001,48.610001,48.610001,48.610001,47.719086,0
24-11-2021,48.639999,48.639999,48.639999,48.639999,47.748535,0
26-11-2021,47.380001,47.380001,47.380001,47.380001,46.511631,0
29-11-2021,47.77,47.77,47.77,47.77,46.894482,0
30-11-2021,46.549999,46.549999,46.549999,46.549999,45.696842,0
01-12-2021,45.919998,45.919998,45.919998,45.919998,45.078388,0
02-12-2021,47.02,47.02,47.02,47.02,46.15823,0
03-12-2021,46.77,46.77,46.77,46.77,45.912811,0
06-12-2021,47.450001,47.450001,47.450001,47.450001,46.580349,0
07-12-2021,48.25,48.25,48.25,48.25,47.365685,0
08-12-2021,48.400002,48.400002,48.400002,48.400002,47.512936,0
09-12-2021,48.029999,48.029999,48.029999,48.029999,47.149715,0
10-12-2021,48.34,48.34,48.34,48.34,47.454037,0
13-12-2021,47.959999,47.959999,47.959999,47.959999,47.080997,0
14-12-2021,46.810001,46.810001,46.810001,46.810001,46.810001,0
15-12-2021,47.360001,47.360001,47.360001,47.360001,47.360001,0
16-12-2021,47.27,47.27,47.27,47.27,47.27,0
17-12-2021,46.810001,46.810001,46.810001,46.810001,46.810001,0
20-12-2021,46.16,46.16,46.16,46.16,46.16,0
21-12-2021,47.09,47.09,47.09,47.09,47.09,0
22-12-2021,47.43,47.43,47.43,47.43,47.43,0
23-12-2021,47.75,47.75,47.75,47.75,47.75,0
27-12-2021,48.360001,48.360001,48.360001,48.360001,48.360001,0
28-12-2021,48.419998,48.419998,48.419998,48.419998,48.419998,0
29-12-2021,48.560001,48.560001,48.560001,48.560001,48.560001,0
30-12-2021,48.48,48.48,48.48,48.48,48.48,0
31-12-2021,48.5,48.5,48.5,48.5,48.5,0
03-01-2022,48.540001,48.540001,48.540001,48.540001,48.540001,0
04-01-2022,48.93,48.93,48.93,48.93,48.93,0
05-01-2022,48.16,48.16,48.16,48.16,48.16,0
06-01-2022,48.290001,48.290001,48.290001,48.290001,48.290001,0
07-01-2022,48.209999,48.209999,48.209999,48.209999,48.209999,0
10-01-2022,47.959999,47.959999,47.959999,47.959999,47.959999,0
11-01-2022,48.41,48.41,48.41,48.41,48.41,0
12-01-2022,48.459999,48.459999,48.459999,48.459999,48.459999,0
13-01-2022,48.220001,48.220001,48.220001,48.220001,48.220001,0
14-01-2022,48.16,48.16,48.16,48.16,48.16,0
18-01-2022,47.380001,47.380001,47.380001,47.380001,47.380001,0
19-01-2022,46.889999,46.889999,46.889999,46.889999,46.889999,0
20-01-2022,46.310001,46.310001,46.310001,46.310001,46.310001,0
21-01-2022,45.630001,45.630001,45.630001,45.630001,45.630001,0
24-01-2022,45.93,45.93,45.93,45.93,45.93,0
25-01-2022,45.5,45.5,45.5,45.5,45.5,0
26-01-2022,45.18,45.18,45.18,45.18,45.18,0
27-01-2022,44.889999,44.889999,44.889999,44.889999,44.889999,0
28-01-2022,45.650002,45.650002,45.650002,45.650002,45.650002,0
31-01-2022,46.369999,46.369999,46.369999,46.369999,46.369999,0
01-02-2022,46.73,46.73,46.73,46.73,46.73,0
02-02-2022,47.07,47.07,47.07,47.07,47.07,0
